SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
17838,239410,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,General,Allotted
17839,239497,Self-Financed Merit Seat,"Mahatma Gandhi Mission Medical College, Vashi,Sector 30, Vashi, Navi Mumbai",MBBS,Open,General,Allotted
17840,239505,Self-Financed Merit Seat,"Mahatma Gandhi Missions Medical College, Navi Mumbai,MGM Medical College, Plot No. 1-2, Sector 1, Kamothe, Navi Mumbai - 410 209",MBBS,Open,General,Allotted
17841,239506,Open Seat Quota,"AIIMS Jammu,AIIMS, Vijaypur, Jammu, Jammu and Kashmir",MBBS,Open PwD,General PwD,Allotted
17842,239540,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,General,Allotted
17843,239572,Self-Financed Merit Seat,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru Mysuru High Way,Kengeri Hobli, Bangalore, Karnataka",MBBS,Open,General,Allotted
17844,239595,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
17845,239629,Self-Financed Merit Seat,"Amrita School of Medicine, Elamkara, Kochi,Amrita School of Medicine, Amrita Institute of Medical Sciences AIMS Ponekkara P.O Kochi 682041",MBBS,Open,OBC,Allotted
17846,239733,Muslim Minority Quota,"Yenepoya Medical College, Mangalore,University Road Deralakatte Mangaluru",MBBS,Open,OBC,Allotted
17847,239749,Self-Financed Merit Seat,"Sri Siddhartha Medical College, Tumkur,SRI SIDDHARTHA MEDICAL COLLEGE B.H. ROAD, AGALAKOTE TUMKUR",MBBS,Open,ST,Allotted
17848,239805,Self-Financed Merit Seat,"Sri Ramachandra Medical College & Research Institute, Chennai,No. One Ramachandra Nagar, Porur, Chennai.",MBBS,Open,General,Allotted
17849,239915,Self-Financed Merit Seat,"JSS Dental College, Mysuru,The Principal JSS Dental College and Hospital Medical Institutions Campus Bannimantap S S Nagar Mysu",BDS,Open,General,Allotted
17850,239930,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,General,Allotted
